name,capacity,address,start_up_date,region,district,operator_name,ICO,operator_address,operator license,operator_region,operator_district,cadastre_area,cadastre_code,cadastre_municipal,cadastre_demarcation
,,,,,,,,,,,,Dýšina,634280,Dýšina,642
,,,,,,,,,,,,Vysoké Mýto,788228,Vysoké Mýto,Pč. 2946/85
,,,,,,,,,,,,Ořešín,712680,Brno,403/1
,,,,,,,,,,,,Kladno u Hlinska,665266,Kladno,St. 42
,,,,,,,,,,,,Borovnice u Staré Paky,607851,Borovnice,parc. č. 1161
,,,,,,,,,,,,Horní Libochová,643343,Horní Libochová,"St. 10/1, 10/3"
,,,,,,,,,,,,Počátky,723002,Počátky,St. 1294
,,,,,,,,,,,,Okrouhlá u Nového Boru,709573,Okrouhlá,parc.č.303/3
,,,,,,,,,,,,Podlusky,741779,Roudnice nad Labem,St. 6
,,,,,,,,,,,,Plzeň,721981,Plzeň,8021
,,,,,,,,,,,,Ratíškovice,739901,Ratíškovice,1481/1
,,,,,,,,,,,,Švihov u Klatov,764621,Švihov,St. 446
,,,,,,,,,,,,Kolinec,668419,Kolinec,par.č.st. 389
,,,,,,,,,,,,Hoděšovice,640255,Býšť,St. 151
,,,,,,,,,,,,Onšovice u Čkyně,624268,Čkyně,St. 44
,,,,,,,,,,,,Velešín,777854,Velešín,St. 1532
,,,,,,,,,,,,Holice u Olomouce,641227,Olomouc,1721/96
,,,,,,,,,,,,Úštěk,775533,Úštěk,parc.č. 895
,,,,,,,,,,,,Řečkovice,611646,Brno,"parc. č. 4443/1,2; 5616"
,,,,,,,,,,,,Zalíbené,758507,Studnice,St. 1
,,,,,,,,,,,,Louky nad Dřevnicí,636118,Zlín,par. č. st. 647
,,,,,,,,,,,,Zálší u Chocně,790745,Zálší,St. 54/1
,,,,,,,,,,,,Křenovice u Slavkova,675881,Křenovice,242/3
,,,,,,,,,,,,Žabovřesky,610470,Brno,4187
,,,,,,,,,,,,Útěchov u Brna,775550,Brno,89/65
,,,,,,,,,,,,Slivenec,750590,Praha,94/58
,,,,,,,,,,,,Říčany u Prahy,745456,Říčany,st. 2099
,,,,,,,,,,,,Bohumilice v Čechách,606375,Bohumilice,"St. 130, St. 172"
,,,,,,,,,,,,Bystřice pod Hostýnem,617113,Bystřice pod Hostýnem,"l. v. 3090, par. č. st. 1485"
,,,,,,,,,,,,Kuks,677019,Kuks,St. 152
,,,,,,,,,,,,Slavkov u Brna,750301,Slavkov u Brna,parc.č. 2019/1
,,,,,,,,,,,,Chotovice u Nového Boru,653381,Chotovice,p.č. 111
,,,,,,,,,,,,Velké Přítočno,779377,Velké Přítočno,St. 472
,,,,,,,,,,,,Chlum pod Táborem,686735,Lomnice nad Popelkou,p.č. 62
,,,,,,,,,,,,Rájec nad Svitavou,738905,Rájec-Jestřebí,par. č. 1841/48; 1841/55
,,,,,,,,,,,,Myslkovice,700690,Myslkovice,St. 230
,,,,,,,,,,,,Byseň,616605,Tuřany,p.č. 48
,,,,,,,,,,,,Dolní Ostrovec,716138,Ostrovec,St. 21
,,,,,,,,,,,,Meclov,692379,Meclov,218/1
,,,,,,,,,,,,Žerovice,796638,Přeštice,p.č. st. 99
,,,,,,,,,,,,Měčín,692441,Měčín,par. č. st. 300
,,,,,,,,,,,,Žihle,796891,Žihle,St. 241
,,,,,,,,,,,,Zdiměřice u Prahy,713287,Jesenice,St. 314
,,,,,,,,,,,,Otovice u Karlových Var,716596,Otovice,p.č. 701/3
,,,,,,,,,,,,Moutnice,699985,Moutnice,55
,,,,,,,,,,,,Neplachovice,640816,Neplachovice,p.č. 212/1
,,,,,,,,,,,,Bukovany u Týnce nad Sázavou,615820,Bukovany,St. 184
,,,,,,,,,,,,Černošice,620386,Černošice,346/1
,,,,,,,,,,,,Bezděčín u Obrataně,708691,Obrataň,St. 14
,,,,,,,,,,,,Tlumačov u Domažlic,767573,Tlumačov,par. č. st. 332
,,,,,,,,,,,,Zubří,793787,Zubří,p.č. 1479/17
,,,,,,,,,,,,Bohuslavice u Hlučína,606529,Bohuslavice,469/3
,,,,,,,,,,,,Králíky,672556,Králíky,p.č. 981
,,,,,,,,,,,,Bručná,722367,Plzeň,parc.č. 678/10
,,,,,,,,,,,,Budětsko,615323,Budětsko,St. 327
,,,,,,,,,,,,Horní Litvínov,686042,Litvínov,parc.č. 1783
,,,,,,,,,,,,Červený Hrádek u Plzně,621081,,st. p. 355/107
,,,,,,,,,,,,Bukovany u Olomouce,615927,Bukovany,parc.č. 1274/2
,,,,,,,,,,,,Kamenný Újezd,662925,Kamenný Újezd,st. 1144
,,,,,,,,,,,,Bílovice nad Svitavou,604551,Bílovice nad Svitavou,St. 1774
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Markvartovice,691895,Markvartovice,1
,,,,,,,,,,,,Srch,753076,Srch,St. 479
,,,,,,,,,,,,Trnová u Plzně,768391,Trnová,St. 31/10
,,,,,,,,,,,,Desná u Litomyšle,625639,Desná,St. 48/1
,,,,,,,,,,,,Český Těšín,623164,Český Těšín,p.č. 3010/11
,,,,,,,,,,,,Zbýšov u Oslavan,792110,Zbýšov,210
,,,,,,,,,,,,Sentice,747581,Sentice,par. č. 79
,,,,,,,,,,,,Nová Bělá,704946,Ostrava,33/5
,,,,,,,,,,,,Bydžovská Lhotka,693057,Měník,st. 44/1
,,,,,,,,,,,,Stará Rudná,743372,Rudná pod Pradědem,"par. č. st. 8/9, 8/2"
,,,,,,,,,,,,Blansko,605018,Blansko,"844/75, St. 4340, 4341"
,,,,,,,,,,,,Sechov,672092,Kožlí,St. 21
,,,,,,,,,,,,Prostřední Žleb,625302,Děčín,St. 518
,,,,,,,,,,,,Záboří u Českých Budějovic,789283,Záboří,st.p.č. 162
,,,,,,,,,,,,Chuderov,654736,Chuderov,307/121
,,,,,,,,,,,,Prušánky,734021,Prušánky,p.č. 1382
