name,capacity,address,start_up_date,region,district,operator_name,ICO,operator_address,operator license,operator_region,operator_district,cadastre_area,cadastre_code,cadastre_municipal,cadastre_demarcation
,,,,,,,,,,,,Hlinsko pod Hostýnem,639419,Bystřice pod Hostýnem,St. 193
,,,,,,,,,,,,Stupno,613550,Břasy,St. 111
,,,,,,,,,,,,Lipník nad Bečvou,684261,,p.č. 1746
,,,,,,,,,,,,Plzeň,721981,Plzeň,14430/44
,,,,,,,,,,,,Dynín,634255,Dynín,st. 1/1
,,,,,,,,,,,,Starý Maletín,690902,Maletín,St. 436
,,,,,,,,,,,,Bělá nad Radbuzou,601624,Bělá nad Radbuzou,p.č. st. 388
,,,,,,,,,,,,Biskupice u Luhačovic,604780,Biskupice,St. 350
,,,,,,,,,,,,Lázně Toušeň,767859,Lázně Toušeň,St. 660
,,,,,,,,,,,,Litice u Plzně,722740,Plzeň,st. 46/3
,,,,,,,,,,,,Bežerovice,758833,Sudoměřice u Bechyně,909/35; 909/3; 895/2
,,,,,,,,,,,,Modřice,697931,Modřice,538/3
,,,,,,,,,,,,Želenice u Mostu,795933,Želenice,p.č. 143/1
,,,,,,,,,,,,Horní Heřmanice,642932,Horní Heřmanice,St. 98
,,,,,,,,,,,,Hrádek u Rokycan,647306,Hrádek,St. 517
,,,,,,,,,,,,Jeseník,658723,Jeseník,2105/8
,,,,,,,,,,,,Církvice u Kutné Hory,617750,Církvice,255
,,,,,,,,,,,,Radonice u Prahy,738247,,p.č. 251
,,,,,,,,,,,,Modřany,728616,Praha,3798/2
,,,,,,,,,,,,Hostivař,732052,Praha,1564/5
,,,,,,,,,,,,Troskotovice,768553,Troskotovice,1121/4
,,,,,,,,,,,,Pěnčín na Moravě,719200,Pěnčín,"p.č. 306, 295"
,,,,,,,,,,,,Mohelnice,698032,Mohelnice,par. č. 2908
,,,,,,,,,,,,Jindřichův Hradec,660523,Jindřichův Hradec,p.č. 3464
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Svébohov,760285,Svébohov,st. 281
,,,,,,,,,,,,Příkazy u Osíčka,713082,Osíčko,St. 129
,,,,,,,,,,,,Rosice nad Labem,741205,Pardubice,St. 566
,,,,,,,,,,,,Tylovice,744743,Rožnov pod Radhoštěm,par. č. 1143/27; 1143/68
,,,,,,,,,,,,Chotěboř,652831,Chotěboř,3071/9
,,,,,,,,,,,,Kanice,663000,Kanice,491/221
,,,,,,,,,,,,Jablůnka,656267,Jablůnka,parc.č.865
,,,,,,,,,,,,Horní Radouň,643912,Horní Radouň,St. 34
,,,,,,,,,,,,Rokycany,740691,Rokycany,St. 3887/1
,,,,,,,,,,,,Neuměř,704164,Neuměř,č.p. 40
,,,,,,,,,,,,Oleško u Zvole,794040,Březová-Oleško,par.č.st. 855
,,,,,,,,,,,,Rokytnice nad Rokytnou,740993,Rokytnice nad Rokytnou,"St. 260, 261/2, 262/4"
,,,,,,,,,,,,Golčův Jeníkov,635481,Golčův Jeníkov,St. 37/2
,,,,,,,,,,,,Napajedla,701572,Napajedla,St. 425/4
,,,,,,,,,,,,Chvalovice u Netolic,655252,Chvalovice,St. 114
,,,,,,,,,,,,Srnojedy,679097,Srnojedy,p. č. 279
,,,,,,,,,,,,Lhotka u České Třebové,681377,Česká Třebová,par.č.st. 448
,,,,,,,,,,,,Přední Chlum,694631,Milešov,st.p.č. 52/3
,,,,,,,,,,,,Hostim,645745,Hostim,parc.č.249/7
,,,,,,,,,,,,Přerov,734713,Přerov,6050/142
,,,,,,,,,,,,Janovice u Frýdku-Místku,657107,Janovice,"st.p.č. 368, p.č. 1168/8"
,,,,,,,,,,,,Žireč Ves,634131,Dvůr Králové nad Labem,St. 99
,,,,,,,,,,,,Rohov,740438,Rohov,p. č. 552/11
,,,,,,,,,,,,Mezholezy u Kutné Hory,695980,Miskovice,St. 8
,,,,,,,,,,,,Velké Meziříčí,779091,Velké Meziříčí,5130/1
,,,,,,,,,,,,Modřice,697931,Modřice,1605/14
,,,,,,,,,,,,Chotyně,653543,Chotyně,St. 280
,,,,,,,,,,,,Krč,727598,Praha 4,p.č. 435/1
,,,,,,,,,,,,Babice u Netolic,655244,Babice,St. 50
,,,,,,,,,,,,Únanov,774308,Únanov,St. 270
,,,,,,,,,,,,Podklášteří,769916,Třebíč,St. 474
,,,,,,,,,,,,Jaktař,711730,Opava,746
,,,,,,,,,,,,Tis,656933,Janov,St. 26
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Zlín,635561,Zlín,St. 9005
,,,,,,,,,,,,Řečkovice,611646,Brno,parc.č. 1510/2
,,,,,,,,,,,,Karviná-město,663824,Karviná,par. č. 4114
,,,,,,,,,,,,Jesenice u Prahy,658618,Jesenice,St. 1226
,,,,,,,,,,,,Kunratice,728314,Praha,681/3
,,,,,,,,,,,,Vrbice u Roudnice nad Labem,785946,Vrbice,St. 19
,,,,,,,,,,,,Mračnice,692387,Meclov,p.č. 594/2
,,,,,,,,,,,,Holubice,777871,Holubice,"par.č. 609/2, 1041, 609/10"
,,,,,,,,,,,,Horoměřice,644773,Horoměřice,st. 1253
,,,,,,,,,,,,Drahelčice,631531,Drahelčice,St. 313
,,,,,,,,,,,,Smržov u Smiřic,751260,Smržov,St. 342
,,,,,,,,,,,,Valkeřice,776629,Valkeřice,par.č.st. 91
,,,,,,,,,,,,Jezernice,659401,,"p.č. 1468/11, 1468/44"
,,,,,,,,,,,,Popovice u Kroměříže,739618,Rataje,333/3
,,,,,,,,,,,,Haklovy Dvory,636797,České Budějovice, 491/2; 503/2
,,,,,,,,,,,,Senorady,747530,Senorady,St. 127
,,,,,,,,,,,,Město Žďár,795232,Žďár nad Sázavou,10171/2
,,,,,,,,,,,,Újezd,722685,Plzeň,563/28
,,,,,,,,,,,,Libeř,682560,Libeř,par. č. st. 552
,,,,,,,,,,,,Mníšek u Liberce,697605,Mníšek,St. 686
,,,,,,,,,,,,Lomnice nad Popelkou,686751,Lomnice nad Popelkou,St. 2147
,,,,,,,,,,,,Lavičky,679232,Lavičky,par. č. st. 196
,,,,,,,,,,,,Vrchlabí,786306,Vrchlabí,St. 425
,,,,,,,,,,,,Horní Litvínov,686042,Horní Litvínov,
,,,,,,,,,,,,Roudné,741612,Roudné,407
,,,,,,,,,,,,Blatno u Podbořan,605433,Blatno,St. 109
,,,,,,,,,,,,Nová Bělá,704946,Ostrava,1508/7
,,,,,,,,,,,,Němčice u Klatov,702986,Předslav,St. 65
,,,,,,,,,,,,Dobřenice,627747,Dobřenice,446
,,,,,,,,,,,,Blučina,605808,Blučina,par.č. 665
,,,,,,,,,,,,Zavlekov,791334,Zavlekov,St. 286
,,,,,,,,,,,,Chotěboř,652831,Chotěboř,3321/41
,,,,,,,,,,,,Míškovice,696161,Míškovice,St. 260
,,,,,,,,,,,,Říčany-Radošovice,745511,Říčany,p.č. 903
,,,,,,,,,,,,Běchovice,601527,Praha,1328/2
,,,,,,,,,,,,Rohatec,740381,Rohatec,parc. č. 1741/25
,,,,,,,,,,,,Popovice nad Rokytnou,657514,,p.č. 332/6
,,,,,,,,,,,,Zruč,793621,Zruč-Senec,27/2
,,,,,,,,,,,,Černošice,620386,Černošice,par. č. 1658/2
,,,,,,,,,,,,České Budějovice 2,621943,České Budějovice,239/2
,,,,,,,,,,,,Říčany-Radošovice,745511,Říčany,St. 1213
,,,,,,,,,,,,Velké Meziříčí,779091,Velké Meziříčí,5999/98
,,,,,,,,,,,,Pavlínov,718335,Pavlínov,St. 130
,,,,,,,,,,,,Smědčice,616354,Smědčice,st. 663
,,,,,,,,,,,,Rakovice,623849,Rakovice,St. 170
,,,,,,,,,,,,Lhota u Dobřan,680940,Plzeň,437/19
,,,,,,,,,,,,Těchlovice u Hradce Králové,765431,Těchlovice,par.č. 31/1
,,,,,,,,,,,,Nové Město na Moravě,706418,Nové Město na Moravě,823
,,,,,,,,,,,,Sezimovo Ústí,747688,Sezimovo Ústí,St. 28
,,,,,,,,,,,,Tisá,767115,Tisá,St. 659
,,,,,,,,,,,,Náchod,701262,Náchod,St. 465/1
,,,,,,,,,,,,Prštné,636142,Zlín,St. 181
,,,,,,,,,,,,Březovice,614793,Hořice,p.č.st. 34
,,,,,,,,,,,,Hořepník,645079,Hořepník,St. 460
,,,,,,,,,,,,Ctiboř u Častrova,618691,Častrov,St. 22
,,,,,,,,,,,,Čerňovice,620581,Čerňovice,St. 57/2
,,,,,,,,,,,,Lačnov u Lysic,763233,Štěchov,St. 1
,,,,,,,,,,,,Řeporyje,745251,Praha,237
,,,,,,,,,,,,Razová,739987,Razová,St. 464
,,,,,,,,,,,,Újezd,722685,Plzeň,parc. č. 107/100
,,,,,,,,,,,,Pašovice na Moravě,718254,Pašovice,St. 384
,,,,,,,,,,,,Veselí-Předměstí,780731,Veselí nad Moravou,St. 1175
,,,,,,,,,,,,Bobrovníky,605875,Hlučín,p.č. 68/14
,,,,,,,,,,,,Nová Pec,705225,Nová Pec,p.č. 375
,,,,,,,,,,,,Lípa u Havlíčkova Brodu,683906,Lípa,St. 189
,,,,,,,,,,,,Palačov,717380,Starý Jičín,St. 91/2
,,,,,,,,,,,,Náchod,701262,Náchod,st. 4013
,,,,,,,,,,,,Pohořelice nad Jihlavou,724866,Pohořelice,3122/194
,,,,,,,,,,,,Žirovnice,797154,Žirovnice,St. 419/5
,,,,,,,,,,,,Šenov u Nového Jičína,707546,Šenov u Nového Jičína,par. č. 104/10
,,,,,,,,,,,,Skorotice u Ústí nad Labem,748480,Ústí nad Labem,899/243
,,,,,,,,,,,,Nový Bydžov,707163,Nový Bydžov, St. 321
,,,,,,,,,,,,Košťany,670961,Košťany,St. 1085
,,,,,,,,,,,,Bělá pod Bezdězem,601705,Bělá pod Bezdězem,St. 2103
,,,,,,,,,,,,Drahany,631523,Drahany,p.č. 45
,,,,,,,,,,,,Háje u Chebu,636576,Cheb,St. 1057
,,,,,,,,,,,,Čerčany,619663,Čerčany,St. 1679
,,,,,,,,,,,,Čestice u Častolovic,623351,Čestice,St. 164
,,,,,,,,,,,,Dolní Bučice,786217,Dolní Bučice,st. 297/1; 386
,,,,,,,,,,,,Světlá nad Sázavou,760510,Světlá nad Sázavou,St. 550/2
,,,,,,,,,,,,Malé Hoštice,711870,Opava,par. č. 67
,,,,,,,,,,,,Strašnice,731943,Praha,parc.č. 4223/1
,,,,,,,,,,,,Vítkovice,714071,Ostrava,912/7
,,,,,,,,,,,,Starý Spálenec,752746,Česká Kubice,St. 122
,,,,,,,,,,,,Klatovy,665797,Klatovy,St. 45
,,,,,,,,,,,,Hrušovany nad Jevišovkou,648809,,"p.č. 1677, 5684/1"
,,,,,,,,,,,,Velké Hoštice,778826,Velké Hoštice,par. č. 150/3
,,,,,,,,,,,,Břežany u Lešan,680371,Lešany,St. 57/2
,,,,,,,,,,,,Hylváty,775339,Ústí nad Orlicí,St. 1180
,,,,,,,,,,,,Dušníky u Rudné,743313,Rudná,St. 63/2
,,,,,,,,,,,,Lesná,610887,Brno,202/57
,,,,,,,,,,,,Citonice,617831,Citonice,par.č.st. 126/3
,,,,,,,,,,,,Znojmo-město,793418,Znojmo,942/12
,,,,,,,,,,,,Chotěboř,652831,Chotěboř,3321/46
,,,,,,,,,,,,Kočov,667676,Kočov,p.č. 13/1
,,,,,,,,,,,,Litoměřice,685429,Litoměřice,par.č. 3096
,,,,,,,,,,,,Svitavy-předměstí,760960,Svitavy,St. 1377
,,,,,,,,,,,,Tachov,764914,Tachov,p.č. 635
,,,,,,,,,,,,Holohlavy,641294,Holohlavy,St. 477
,,,,,,,,,,,,Smíchov,729051,Praha,961/3
,,,,,,,,,,,,Fryšták,635359,Fryšták,parc. č. 804
,,,,,,,,,,,,Předměřice nad Labem,734292,Předměřice nad Labem,St. 731
,,,,,,,,,,,,Lanškroun,678929,Lanškroun,St. 811
,,,,,,,,,,,,Maršov u Veverské Bítýšky,691941,Maršov,par. č. st. 215
,,,,,,,,,,,,Žamberk,794368,Žamberk,4355
,,,,,,,,,,,,Malé Výkleky,655694,Malé Výkleky,St. 49
,,,,,,,,,,,,Malenovice u Zlína,635987,Zlín,St. 180/2
,,,,,,,,,,,,Vesec u Liberce,780472,Liberec,1343/7
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Kuroslepy,614459,Kuroslepy,par. č. st. 80
,,,,,,,,,,,,Litoměřice,685429,Litoměřice,par.č. 854
,,,,,,,,,,,,Teplice-Trnovany,766259,Teplice,247/2
,,,,,,,,,,,,Ohrobec,709352,Ohrobec,St. 907
,,,,,,,,,,,,Stříbro,757837,Stříbro,"p.č.  2394/1,2"
,,,,,,,,,,,,Slezské Předměstí,646971,Hradec Králové,par. č. st. 62/2
,,,,,,,,,,,,Pustkovec,715301,Ostrava,4007/5
,,,,,,,,,,,,Janův Důl u Liberce,682241,Liberec,p.č. 81
,,,,,,,,,,,,Mukařov u Říčan,700321,Mukařov,St. 879
,,,,,,,,,,,,Prachatice,732630,Prachatice,St. 2844
,,,,,,,,,,,,Velhartice,777935,Velhartice,St. 167
,,,,,,,,,,,,Vrábče,785105,Vrábče,St. 503
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Zlín,635561,Zlín,St. 9013
,,,,,,,,,,,,Lenora,679950,Lenora,"par.č. 313/10, 313/11"
,,,,,,,,,,,,Srch,753076,Srch,St. 299
,,,,,,,,,,,,Slezské Předměstí,646971,Hradec Králové,St. 922
,,,,,,,,,,,,Sedlčany,746533,Sedlčany,p.č. 2050/2
,,,,,,,,,,,,Štramberk,764116,Štramberk,2337/2
,,,,,,,,,,,,Přemyšlení,792403,Zdiby,St. 582
,,,,,,,,,,,,Novosedly na Moravě,706973,Novosedly,St. 819
,,,,,,,,,,,,Veveří,610372,Brno,1542/13
,,,,,,,,,,,,Bocanovice,656291,Bocanovice,St. 101/1
,,,,,,,,,,,,Trnová,717959,Pardubice,p.č.129
,,,,,,,,,,,,Divice,782301,Vinařice,St. 34
,,,,,,,,,,,,Kamenice nad Lipou,662577,Kamenice nad Lipou,parc.č. 493/12
,,,,,,,,,,,,Dětenice,625922,Dětenice,St. 327/21; St. 327/22
,,,,,,,,,,,,Svitavy-předměstí,760960,Svitavy,St. 3141
,,,,,,,,,,,,Mělník,692816,Mělník,2988/144
,,,,,,,,,,,,Malšova Lhota,691305,Hradec Králové,St. 33/1
,,,,,,,,,,,,Uherský Brod,772984,Uherský Brod,St. 1250/2
,,,,,,,,,,,,Syrovice,761834,Syrovice,parc. č. 371/1
,,,,,,,,,,,,Dubňany,633585,Dubňany,parc. č. 60
,,,,,,,,,,,,Dasný,624781,Dasný,par. č. 92/4
,,,,,,,,,,,,Radotín,738620,Praha,841
,,,,,,,,,,,,Bručná,722367,Plzeň,p.č. 1281/29
,,,,,,,,,,,,Dubí,792586,Dubí,par.č. 265/1
,,,,,,,,,,,,Horní Lideč,643351,Horní Lideč,St. 713
,,,,,,,,,,,,Kateřinky u Opavy,711756,Opava,St. 997/3
,,,,,,,,,,,,Ostrožské Předměstí,773123,Uherský Ostroh,St. 1/11
,,,,,,,,,,,,Rohov,740438,Rohov,6/3
,,,,,,,,,,,,Doksy u Máchova jezera,628212,Doksy,417/6
,,,,,,,,,,,,Návsí,656348,Návsí,2127
,,,,,,,,,,,,Mělčany u Ivančic,692786,Mělčany,205
,,,,,,,,,,,,Milavče,694509,Milavče,160/1
,,,,,,,,,,,,Lanškroun,678929,Lanškroun,St. 1348
,,,,,,,,,,,,Ledec,679704,Choltice,par. č. st. 2
,,,,,,,,,,,,Ludgeřovice,688410,Ludgeřovice,1269/1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Tišnov,767379,Tišnov,St. 628
,,,,,,,,,,,,Výškovice u Ostravy,715620,Ostrava,715/14
,,,,,,,,,,,,Písek,720755,Písek,St. 1361
,,,,,,,,,,,,Bohuslavice u Zlína,606570,Bohuslavice u Zlína,St. 473
,,,,,,,,,,,,Nišovice,704636,Volyně,"par.č. 47, par.č.st. 20"
,,,,,,,,,,,,Řepy,729701,Praha,645
,,,,,,,,,,,,Salaš u Zlína,745952,Zlín,69
,,,,,,,,,,,,Smolina,751103,Valašské Klobouky,St. 166
,,,,,,,,,,,,Plánice,721476,Plánice,St. 497
,,,,,,,,,,,,Krty,675164,Krty,St. 75
,,,,,,,,,,,,Libochovice,683124,Libochovice,par. č. 1017/13
,,,,,,,,,,,,Benešov u Prahy,602191,Benešov,parc. č. 2226/6
,,,,,,,,,,,,Dolní Habartice,629049,Dolní Habartice,St. 63
,,,,,,,,,,,,Lipník u Hrotovic,684252,Lipník,33
,,,,,,,,,,,,Radenín,737518,Radenín,St. 13
,,,,,,,,,,,,Křemže,675768,Křemže,par. č. 96
,,,,,,,,,,,,Pavlov,718432,Pavlov,par. č. 1262/2
,,,,,,,,,,,,Rožnov pod Radhoštěm,742937,Rožnov pod Radhoštěm,St. 4637
,,,,,,,,,,,,Kočí,667633,Kočí,St. 378
,,,,,,,,,,,,Záchlumí u Stříbra,790290,Záchlumí,"par.č. 209/10, 11"
,,,,,,,,,,,,Krásné Březno,775266,Ústí nad Labem,814/1
,,,,,,,,,,,,Bežerovice,758833,Sudoměřice u Bechyně,St. 1/1
,,,,,,,,,,,,Košíře,728764,Praha,1123/2
,,,,,,,,,,,,Kyje,731226,Praha,parc. č. 2665/18
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Bor u Tachova,607304,Bor,par. č. st. 476
,,,,,,,,,,,,Skvrňany,722596,Plzeň,639
,,,,,,,,,,,,Horní Těrlicko,766577,Těrlicko,parc. č. 3924
,,,,,,,,,,,,Chocerady,652024,Chocerady,St. 678
,,,,,,,,,,,,Chrudim,654299,Chrudim,St. 6038
,,,,,,,,,,,,Dolní Heršpice,612111,Brno,151
,,,,,,,,,,,,Hole u Průhonic,733962,Průhonice,303/2
,,,,,,,,,,,,Moutnice,699985,Moutnice,par. č. 171/2
,,,,,,,,,,,,Přeštice,735256,Přeštice,St. 621
,,,,,,,,,,,,České Budějovice 2,621943,České Budějovice,2137/137
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Trnová u Plzně,768391,Trnová,St. 774
,,,,,,,,,,,,Holubice,777871,Holubice,897/26
,,,,,,,,,,,,Starý Bydžov,754943,Starý Bydžov,St. 119
,,,,,,,,,,,,Lyžbice,771104,Třinec,p.č. 1324/20
,,,,,,,,,,,,Horní Vilémovice,644587,Horní Vilémovice,St. 11/2
,,,,,,,,,,,,Dolní Němčí,629839,Dolní Němčí,par. č. st. 432/1
,,,,,,,,,,,,Vlčková,783846,Vlčková,St. 1169
,,,,,,,,,,,,Moravské Budějovice,698903,Moravské Budějovice,St. 2000/2
,,,,,,,,,,,,Statenice,755346,Statenice,St. 704
,,,,,,,,,,,,Kbelnice,664626,Přešťovice,st.p.č. 38/1
,,,,,,,,,,,,Želetice u Znojma,796026,Želetice,parc.č. 357; 362; 361/1
,,,,,,,,,,,,Hroznětín,648515,Hroznětín,st. 669
,,,,,,,,,,,,Prosek,731382,Praha,"p.č. 892, 893"
,,,,,,,,,,,,Srubec,753131,Srubec,parc. č. 516/15
,,,,,,,,,,,,Nový Hrozenkov,707384,Nový Hrozenkov,St. 2026
,,,,,,,,,,,,Radim,737798,Luže,St. 38
,,,,,,,,,,,,Krčín,706434,Nové Město nad Metují,St. 157
,,,,,,,,,,,,Střelná na Moravě,757471,Střelná,p.č. 10
,,,,,,,,,,,,Senetářov,747432,Senetářov,St. 107/1
,,,,,,,,,,,,Kozojedy u Kralovic,671932,Kozojedy,St. 51/5
,,,,,,,,,,,,Putimov,736996,Putimov,St. 168
,,,,,,,,,,,,Kosmonosy,669857,Kosmonosy,1578/433
,,,,,,,,,,,,Záluží u Třemošné,770701,Třemošná,146
,,,,,,,,,,,,Hodolany,710873,Olomouc,St. 542
,,,,,,,,,,,,Bystřany-Světice,616737,Bystřany,236
,,,,,,,,,,,,Turkovice u Přelouče,771597,Turkovice,St. 87/16
,,,,,,,,,,,,Židlochovice,796701,Židlochovice,parc. č. 1020
,,,,,,,,,,,,Brantice,609480,Brantice,par.č.st. 49
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Tachov,764914,Tachov,1117
,,,,,,,,,,,,Srby u Horšovského Týna,753033,Srby,St. 201
,,,,,,,,,,,,Braník,727873,Praha,p.č. 534/2
,,,,,,,,,,,,Horní Slivno,644111,Horní Slivno,St. 189
,,,,,,,,,,,,Statenice,755346,Statenice,p.č. 16
,,,,,,,,,,,,Líšnice,685097,Líšnice,st. 181/1
,,,,,,,,,,,,Řeporyje,745251,Praha,p.č. 1376/252
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Moravská Třebová,698806,Moravská Třebová,1371
,,,,,,,,,,,,Tursko,771759,Tursko,St. 91
,,,,,,,,,,,,Nové Hrady,706256,Nové Hrady,St. 204/1
,,,,,,,,,,,,Černošice,620386,Černošice,2422
,,,,,,,,,,,,Řehlovice,745031,Řehlovice,"St. 190, 191"
,,,,,,,,,,,,Štěnkov,769444,Třebechovice pod Orebem,St. 43
,,,,,,,,,,,,Hořičky,645281,Hořičky,St. 144
,,,,,,,,,,,,Bílý Kámen,604615,,p.č. 90
,,,,,,,,,,,,Pečky,718823,Pečky,1468/194
,,,,,,,,,,,,Provodov,733881,Provodov-Šonov,42/1
,,,,,,,,,,,,Držovice na Moravě,632783,Držovice,par.č.st. 190
,,,,,,,,,,,,Volanov,769118,Trutnov,St. 341
,,,,,,,,,,,,Hrdějovice,648001,Hrdějovice,91/5
,,,,,,,,,,,,Klatovy,665797,Klatovy,St. 2523
,,,,,,,,,,,,Zličín,793264,Praha,467
,,,,,,,,,,,,Horní Litvínov,686042,Litvínov,p.č.1591/1
,,,,,,,,,,,,Modlibohov,697796,Český Dub,St. 145
,,,,,,,,,,,,Kylešovice,711811,Opava,1858/22
,,,,,,,,,,,,Staňkovice,724840,Staňkovice,St.  31
,,,,,,,,,,,,Svinov,715506,Ostrava,2748/2
,,,,,,,,,,,,Běchovice,601527,Praha,1334
,,,,,,,,,,,,Kluk,666670,Poděbrady,St. 104/3
,,,,,,,,,,,,Borek u Českých Budějovic,607525,Borek,St. 516
,,,,,,,,,,,,Moravské Budějovice,698903,Moravské Budějovice,St. 2165
,,,,,,,,,,,,Václavice u Hrádku nad Nisou,775991,Hrádek nad Nisou,St. 467
,,,,,,,,,,,,Ždírec nad Doubravou,795640,Ždírec nad Doubravou,St. 811
,,,,,,,,,,,,Stodůlky,755541,Praha,1227/5
,,,,,,,,,,,,Turnov,771601,Turnov,2250/13
,,,,,,,,,,,,Město Žďár,795232,Žďár nad Sázavou,3961
,,,,,,,,,,,,Moravany u Kyjova,698521,Moravany,St. 249
,,,,,,,,,,,,Křivce,603732,Bezdružice,parc. č. 60/4
,,,,,,,,,,,,Střemošice,757527,Střemošice,St. 59/2
,,,,,,,,,,,,Oznice,717169,Oznice,St. 93
,,,,,,,,,,,,Heřmaň u Českých Budějovic,702072,Heřmaň,St. 155/1
,,,,,,,,,,,,Pěnčín,719170,Pěnčín,St. 168
,,,,,,,,,,,,Uhříněves,773425,,p.č. 1653/80
,,,,,,,,,,,,Jilemnice,659959,Jilemnice,1496/44
,,,,,,,,,,,,Bzenec,617270,,p.č. 383
,,,,,,,,,,,,Kunice u Říčan,677230,Strančice,par.č.st. 531
,,,,,,,,,,,,Chrást u Plzně,653781,Chrást,1845/1
,,,,,,,,,,,,Radkov u Vítkova,738018,,p.č.141/3
,,,,,,,,,,,,Janovice nad Úhlavou,657131,Janovice nad Úhlavou,St. 33
,,,,,,,,,,,,Volyně,784958,Volyně,2317/2
,,,,,,,,,,,,Jiřičná,719994,Petrovice u Sušice,par.č.st. 23
,,,,,,,,,,,,Vésky,780995,Uherské Hradiště,parc.č. 19/2
,,,,,,,,,,,,Vrbovec,786128,Vrbovec,par.č. 406/1
,,,,,,,,,,,,Týniště nad Orlicí,772429,Týniště nad Orlicí,p.č. 1860/2
,,,,,,,,,,,,Chlum u Třeboně,651630,Chlum u Třeboně,par.č.st. 1097
,,,,,,,,,,,,Křeslice,676071,Praha,272/296
,,,,,,,,,,,,Žabovřesky,610470,Brno,par. č. 5181/35
,,,,,,,,,,,,Horní Třešňovec,644480,Horní Třešňovec,St. 136
,,,,,,,,,,,,Třinec,770892,Třinec,"p.č. 1521/1,1521/42,1521/2"
,,,,,,,,,,,,Milevsko,694673,Milevsko,St. 3115
,,,,,,,,,,,,Roudnice nad Labem,741647,Roudnice nad Labem,1967
,,,,,,,,,,,,Bolevec,722120,Plzeň,3237; 1137/226
,,,,,,,,,,,,Babice,600601,Babice,"St. 662, 663"
,,,,,,,,,,,,Oblekovice,708615,Znojmo,parc. č. 392/99
,,,,,,,,,,,,Moravská Třebová,698806,Moravská Třebová,3965
,,,,,,,,,,,,Hluk,639907,Hluk,2300/24
,,,,,,,,,,,,Komárov u Holic,668699,Dolní Roveň,St. 68
,,,,,,,,,,,,Studánka,717843,Pardubice,St. 1246
,,,,,,,,,,,,Senohraby,747505,Senohraby,par. č. st. 852
,,,,,,,,,,,,Chýnov u Tábora,655473,Chýnov,"parc. č. 1498/8,,9, 13"
,,,,,,,,,,,,Zubčice,793698,Zubčice,St. 248
,,,,,,,,,,,,Sivice,747840,Sivice,p.č. 474
,,,,,,,,,,,,Losiná u Plzně,686841,Losiná,St. 762
,,,,,,,,,,,,Neurazy,704229,Neurazy,St. 120
,,,,,,,,,,,,Nárameč,701599,Nárameč,St. 278
,,,,,,,,,,,,Bojanovice pod Rabím,737097,Rabí,PK 343; 344; 406
,,,,,,,,,,,,Střelice u Brna,757438,Střelice,1272
,,,,,,,,,,,,Dolní Měcholupy,732541,Praha,485/2
,,,,,,,,,,,,Černá Hora,619825,Černá Hora,306
,,,,,,,,,,,,Hostivař,732052,Praha,p.č. 1818/91
,,,,,,,,,,,,Běchovice,601527,Praha,1332
,,,,,,,,,,,,Drahlín,631604,Drahlín,p.č. 238
,,,,,,,,,,,,Zábrodí,789364,Zábrodí,St. 135
,,,,,,,,,,,,Tisá,767115,Tisá,St. 815
,,,,,,,,,,,,Račetice,719579,Račetice,p.č. 354/1
,,,,,,,,,,,,Bor u Tachova,607304,Bor,"St. 504/1, 504/2"
,,,,,,,,,,,,Tečovice,636029,Tečovice,St. 588
,,,,,,,,,,,,Vísky u Letovic,782530,Vísky,"parc.č. 58/13,15"
,,,,,,,,,,,,Jaktař,711730,Opava,"736, 738"
,,,,,,,,,,,,Domašín u Dobrušky,630748,Dobruška,St. 23/1
,,,,,,,,,,,,Vsetín,786764,Vsetín,1641
,,,,,,,,,,,,Plasy,721531,Plasy,St. 231
,,,,,,,,,,,,Bánov,600865,Bánov,p.č. 3080/46
,,,,,,,,,,,,Žalany,794325,Žalany,par. č. st. 114
,,,,,,,,,,,,Jivno,743461,Jivno,st. 637
,,,,,,,,,,,,Zlechov,793248,Zlechov,"St. 821/1, 821/2"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Horní Počernice,643777,Praha,711/2
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Trnová u Plzně,768391,Trnová u Plzně,par.č. st. 41/5
,,,,,,,,,,,,Přehořov u Žihle,796883,Žihle,St. 59/1
,,,,,,,,,,,,Těchlovice u Hradce Králové,765431,Těchlovice,229/2
,,,,,,,,,,,,Vysoké Mýto,788228,Vysoké Mýto,130
,,,,,,,,,,,,Zeleneč,792781,Zeleneč,St. 988
,,,,,,,,,,,,Poděbrady,723495,Poděbrady,St. 2114/9
,,,,,,,,,,,,Žamberk,794368,Žamberk,parc.č. 4291
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Lipov,684368,,p.č. 390 a 298
,,,,,,,,,,,,Štěrboholy,732516,Praha,80/2
,,,,,,,,,,,,Pravčice,732974,Pravčice,"p.č. 425,426,427,428"
